"Date-Time","Call-Incident Type","Incident No.","Full Address"
"10/08/2014 01:06:54","T","2014-00059807","ASHBY AVE/ELLIS ST"
"10/08/2014 01:10:30","415","2014-00059808","2300 BLOCK ELLSWORTH ST"
"10/08/2014 01:16:58","T","2014-00059809","ALLSTON WAY/SACRAMENTO ST"
"10/08/2014 01:21:45","415E","2014-00059810","2400 BLOCK HASTE ST"
"10/08/2014 01:27:43","415","2014-00059811","2400 BLOCK TELEGRAPH AVE"
"10/08/2014 01:29:58","T","2014-00059813","1400 BLOCK HEARST AVE"
"10/08/2014 01:29:58","T","2014-00059812","1400 BLOCK HEARST AVE"
"10/08/2014 02:09:35","SUSCIR","2014-00059814","1900 BLOCK HEARST AVE"
"10/08/2014 02:21:54","PRKVIO","2014-00059816","500 BLOCK SPRUCE ST"
"10/08/2014 02:22:10","SEC","2014-00059815","COLLEGE AVE/ALCATRAZ AVE"
"10/08/2014 03:09:11","SEC","2014-00059820","2800 BLOCK SHATTUCK AVE"
"10/08/2014 04:15:50","1033A","2014-00059817","2900 BLOCK SHATTUCK AVE"
"10/08/2014 04:53:57","1033A","2014-00059818","2500 BLOCK BANCROFT WAY"
"10/08/2014 04:57:58","1194","2014-00059819"," / "
"10/08/2014 05:10:45","T","2014-00059821","ALCATRAZ AVE/DOVER ST"
"10/08/2014 05:12:14","SEC","2014-00059822","2600 BLOCK DWIGHT WAY"
"10/08/2014 05:17:25","1033A","2014-00059823","1200 BLOCK SECOND ST"
"10/08/2014 05:19:08","415E","2014-00059824","1300 BLOCK ALCATRAZ AVE"
"10/08/2014 07:08:24","5150","2014-00059825","2100 BLOCK RUSSELL ST"
"10/08/2014 07:17:03","RECOVR","2014-00059826","900 BLOCK DELAWARE ST"
"10/08/2014 07:30:04","SUSPER","2014-00059828","5400 BLOCK TELEGRAPH AVE"
"10/08/2014 07:30:32","647J","2014-00059829","MILVIA ST/HASTE ST"
"10/08/2014 07:45:56","SUSVEH","2014-00059831","2300 BLOCK WEST ST"
"10/08/2014 07:51:21","LOST","2014-00059830","1900 BLOCK BERRYMAN ST"
"10/08/2014 07:55:02","PRKVIO","2014-00059840","2200 BLOCK WARD ST"
"10/08/2014 08:00:38","415","2014-00059832","1400 BLOCK CURTIS ST"
"10/08/2014 08:03:35","FLAG","2014-00059833","M L KING JR WAY/UNIVERSITY AVE"
"10/08/2014 08:09:29","1124","2014-00059834","1600 BLOCK NINTH ST"
"10/08/2014 08:20:28","602L","2014-00059835","2200 BLOCK OXFORD ST"
"10/08/2014 08:23:09","DRUGS","2014-00059836","1900 BLOCK OREGON ST"
"10/08/2014 08:28:23","484","2014-00059837","2400 BLOCK SAN PABLO AVE"
"10/08/2014 08:30:39","653M","2014-00059848","2900 BLOCK CALIFORNIA ST"
"10/08/2014 08:39:09","FLAG","2014-00059838","600 BLOCK CRAGMONT AVE"
"10/08/2014 08:52:07","SEC","2014-00059839","2000 BLOCK ALLSTON WAY"
"10/08/2014 09:06:41","TRFHAZ","2014-00059842","1900 BLOCK UNIVERSITY AVE"
"10/08/2014 09:07:18","SEC","2014-00059841","2000 BLOCK VIRGINIA ST"
"10/08/2014 09:09:23","1042","2014-00059843","1700 BLOCK FOURTH ST"
"10/08/2014 09:13:23","A911","2014-00059844","2200 BLOCK SHATTUCK AVE"
"10/08/2014 09:18:12","1053","2014-00059845","2200 BLOCK SHATTUCK AVE"
"10/08/2014 09:22:13","1033A","2014-00059850","2200 BLOCK BYRON ST"
"10/08/2014 09:22:32","SEC","2014-00059846","2700 BLOCK MARTIN LUTHER KING JR WAY"
"10/08/2014 09:23:18","T","2014-00059847"," / "
"10/08/2014 09:30:09","W911","2014-00059849","1800 BLOCK FRANCISCO ST"
"10/08/2014 09:37:50","ADVICE","2014-00059851","1300 BLOCK ADA ST"
"10/08/2014 09:43:34","NEW",,"SIXTY-FIFTH ST/TELEGRAPH AVE"
"10/08/2014 09:46:01","415","2014-00059852","1700 BLOCK OREGON ST"
"10/08/2014 09:48:48","PRKVIO",,"2100 BLOCK ACTON ST"
"10/08/2014 09:51:03","5150","2014-00059855","3200 BLOCK ADELINE ST"
"10/08/2014 09:54:16","SEC","2014-00059853","SHATTUCK AVE/ADDISON ST"
